ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
1984,1984,tsoːdali,thin1670,false,expert,Chacon2018,t s   o ː   d   a   l   i   -   -   -   -   -   -   -   -   -   -   -   -   -   -,,Chacon2018
1985,1985,tsepenĩtɛ,skinny1439,false,expert,Chacon2018,,,Chacon2018
1986,1986,nuawaːdaka,think1682,false,expert,Chacon2018,n   u   a   w   a ː   d   a   k   a   -   -,,Chacon2018
1987,1987,liapiːtɐ̃da,think1679,false,expert,Chacon2018,l   i   -   -   a   p   i ː   -   -   t   ɐ ̃   d   a   -   -   -,,Chacon2018
1988,1988,nuawadakani,think1682,false,expert,Chacon2018,n   u   a   w   a   d   a   k   a   n   i,,Chacon2018
1989,1989,ɽiwaupiaka,think1679,false,expert,Chacon2018,ɽ   i   w   a   u   p   i   a   k   a,,Chacon2018
1990,1990,ɽinamanikawa,think1683,false,expert,Chacon2018,,,Chacon2018
1991,1991,iapjẽta,think1679,false,expert,Chacon2018,-   i   -   -   a   p   j   -   ẽ   t   a   -   -   -   -   -,,Chacon2018
1992,1992,pawadawani,think1682,false,expert,Chacon2018,p   a   -   w   a   d   a   w   a   n   i,,Chacon2018
1993,1993,iwaopiakada,think1679,false,expert,Chacon2018,# N A M E ?,,Chacon2018
1994,1994,aːpinetaːketi,think1679,false,expert,Chacon2018,-   -   -   a ː   -   p   i   n   e   t   a ː   k   e   t   i   -,,Chacon2018
1995,1995,japiñetaketi,think1679,false,expert,Chacon2018,-   y   -   a   -   p   i   ɲ   e   t   a   k   e   t   i   -,,Chacon2018
1996,1996,wawaopiaketi,think1679,false,expert,Chacon2018,w   a   w   a   o   p   i   -   a   -   -   k   e   t   i   -,,Chacon2018
1997,1997,puɽiuta,think1689,false,expert,Chacon2018,,,Chacon2018
1998,1998,ʰɾiẽhẽ,this1690,false,expert,Chacon2018,,,Chacon2018
1999,1999,hiẽhẽ,this1690,false,expert,Chacon2018,,,Chacon2018
2000,2000,hiehi,this1690,false,expert,Chacon2018,,,Chacon2018
2001,2001,hiehẽ,this1690,false,expert,Chacon2018,,,Chacon2018
2002,2002,hjɛhẽ,this1690,false,expert,Chacon2018,,,Chacon2018
2003,2003,nɾia,this1698,false,expert,Chacon2018,,,Chacon2018
2004,2004,liahi,this1690,false,expert,Chacon2018,,,Chacon2018
2005,2005,thiaha,this1695,false,expert,Chacon2018,,,Chacon2018
2006,2006,kuakalihe,this1696,false,expert,Chacon2018,,,Chacon2018
2007,2007,tiːra,this1695,false,expert,Chacon2018,,,Chacon2018
2008,2008,pʰia,you1944,false,expert,Chacon2018,,,Chacon2018
2009,2009,pʰia,you1944,false,expert,Chacon2018,,,Chacon2018
2010,2010,phina,you1944,false,expert,Chacon2018,,,Chacon2018
2011,2011,kia,you1948,false,expert,Chacon2018,k   i   a,,Chacon2018
2012,2012,ja,you1947,false,expert,Chacon2018,,,Chacon2018
2013,2013,hia,you1955,false,expert,Chacon2018,,,Chacon2018
2014,2014,piɾiha,you1953,false,expert,Chacon2018,,,Chacon2018
2015,2015,phia,you1944,false,expert,Chacon2018,,,Chacon2018
2016,2016,phia,you1944,false,expert,Chacon2018,,,Chacon2018
2017,2017,phia,you1944,false,expert,Chacon2018,,,Chacon2018
2018,2018,phia,you1944,false,expert,Chacon2018,,,Chacon2018
2019,2019,nijahɐ̃,you1954,false,expert,Chacon2018,,,Chacon2018
2020,2020,madaɽida,three1699,false,expert,Chacon2018,,,Chacon2018
2021,2021,madar̥ipa,three1699,false,expert,Chacon2018,,,Chacon2018
2022,2022,mandaɽídɛ,three1699,false,expert,Chacon2018,,,Chacon2018
2023,2023,manaɽida,three1699,false,expert,Chacon2018,,,Chacon2018
2024,2024,mandaɾipɐ,three1699,false,expert,Chacon2018,,,Chacon2018
2025,2025,mãdaɾipa,three1699,false,expert,Chacon2018,,,Chacon2018
2026,2026,madalida,three1699,false,expert,Chacon2018,,,Chacon2018
2027,2027,madali,three1699,false,expert,Chacon2018,,,Chacon2018
2028,2028,madalida,three1699,false,expert,Chacon2018,,,Chacon2018
2029,2029,madalida,three1699,false,expert,Chacon2018,,,Chacon2018
2030,2030,tɛrɛtʃi,three109,false,expert,Chacon2018,,,Chacon2018
2031,2031,paːkakɐni,throw1700,false,expert,Chacon2018,# N A M E ?,,Chacon2018
2032,2032,nuinoaka,throw1701,false,expert,Chacon2018,n   u   i   n   o   a   k   a   -   -   -   -,,Chacon2018
2033,2033,ipeːkokada,throw1700,false,expert,Chacon2018,i   -   p   e ː   k   o   k   a   d   a,,Chacon2018
2034,2034,iːnuaketi,throw1701,false,expert,Chacon2018,-   -   i ː   n   u   a   k   e   t   i   -   -,,Chacon2018
2035,2035,ipekokete,throw1700,false,expert,Chacon2018,i   -   p   e   k   o   k   e   t   e,,Chacon2018
2036,2036,waokaketi,throw1700,false,expert,Chacon2018,w   a   -   o   k   a   k   e   t   i,,Chacon2018
2037,2037,papalakɐni,tie1702,false,expert,Chacon2018,p   a   p   a   l   a   k   ɐ   n   i,,Chacon2018
2038,2038,kaʐɐ̃n̚,tie1703,false,expert,Chacon2018,,,Chacon2018
2039,2039,nupaʐakani,tie1702,false,expert,Chacon2018,n   u   p   a   ʐ   a   k   a   n   i,,Chacon2018
2040,2040,nupaʐaːka,tie1702,false,expert,Chacon2018,n   u   p   a   ʐ   a ː   k a,,Chacon2018
2041,2041,natutunipɛ,tie1710,false,expert,Chacon2018,,,Chacon2018
2042,2042,ipapikada,tie111,false,expert,Chacon2018,# N A M E ?,,Chacon2018
2043,2043,paraketi,tie1702,false,expert,Chacon2018,# N A M E ?,,Chacon2018
